# teams=6 weeks=5 score=0,0 count=100 (reference schedules with B<->F swap)
0,2,6,3,8,9,14,10,11
	1,0,5,4,9,7,13,14,12
		6,13,8,2,7,11,3,1,10
			14,3,4,12,11,0,9,6,5
				7,5,10,8,12,1,13,4,2
	1,0,5,4,9,7,13,14,12
		8,13,6,11,7,2,10,1,3
			14,3,4,12,11,0,9,6,5
				10,5,7,1,12,8,2,4,13
	13,14,12,4,9,7,1,0,5
		6,13,8,2,7,11,3,1,10
			4,3,14,0,11,12,5,6,9
				7,5,10,8,12,1,13,4,2
	13,14,12,4,9,7,1,0,5
		10,1,3,11,7,2,8,13,6
			4,3,14,0,11,12,5,6,9
				7,5,10,8,12,1,13,4,2
	13,14,12,4,9,7,1,0,5
		10,1,3,11,7,2,8,13,6
			9,6,5,12,11,0,14,3,4
				2,4,13,1,12,8,10,5,7
	13,14,12,4,9,7,1,0,5
		10,1,3,11,7,2,8,13,6
			9,6,5,12,11,0,14,3,4
				7,5,10,8,12,1,13,4,2
	5,0,1,7,9,4,12,14,13
		6,13,8,2,7,11,3,1,10
			4,3,14,0,11,12,5,6,9
				7,5,10,8,12,1,13,4,2
	12,14,13,7,9,4,5,0,1
		3,1,10,2,7,11,6,13,8
			5,6,9,0,11,12,4,3,14
				10,5,7,1,12,8,2,4,13
	12,14,13,7,9,4,5,0,1
		3,1,10,2,7,11,6,13,8
			5,6,9,0,11,12,4,3,14
				13,4,2,8,12,1,7,5,10
	12,14,13,7,9,4,5,0,1
		3,1,10,2,7,11,6,13,8
			14,3,4,12,11,0,9,6,5
				10,5,7,1,12,8,2,4,13
	12,14,13,7,9,4,5,0,1
		6,13,8,2,7,11,3,1,10
			14,3,4,12,11,0,9,6,5
				7,5,10,8,12,1,13,4,2
	12,14,13,7,9,4,5,0,1
		10,1,3,11,7,2,8,13,6
			5,6,9,0,11,12,4,3,14
				2,4,13,1,12,8,10,5,7
	12,14,13,7,9,4,5,0,1
		10,1,3,11,7,2,8,13,6
			5,6,9,0,11,12,4,3,14
				7,5,10,8,12,1,13,4,2
	12,14,13,7,9,4,5,0,1
		10,1,3,11,7,2,8,13,6
			14,3,4,12,11,0,9,6,5
				7,5,10,8,12,1,13,4,2
	12,14,13,7,9,4,5,0,1
		8,13,6,11,7,2,10,1,3
			14,3,4,12,11,0,9,6,5
				10,5,7,1,12,8,2,4,13
2,0,6,3,9,8,10,14,11
	0,1,5,4,7,9,14,13,12
		13,6,8,2,11,7,1,3,10
			14,4,3,11,12,0,9,5,6
				7,10,5,12,8,1,13,2,4
	0,1,5,4,7,9,14,13,12
		8,6,13,7,11,2,10,3,1
			14,4,3,11,12,0,9,5,6
				5,10,7,1,8,12,4,2,13
	14,13,12,4,7,9,0,1,5
		13,6,8,2,11,7,1,3,10
			3,4,14,0,12,11,6,5,9
				7,10,5,12,8,1,13,2,4
	14,13,12,4,7,9,0,1,5
		10,3,1,7,11,2,8,6,13
			3,4,14,0,12,11,6,5,9
				7,10,5,12,8,1,13,2,4
	14,13,12,4,7,9,0,1,5
		10,3,1,7,11,2,8,6,13
			9,5,6,11,12,0,14,4,3
				4,2,13,1,8,12,5,10,7
	14,13,12,4,7,9,0,1,5
		10,3,1,7,11,2,8,6,13
			9,5,6,11,12,0,14,4,3
				7,10,5,12,8,1,13,2,4
	12,13,14,9,7,4,5,1,0
		1,3,10,2,11,7,13,6,8
			6,5,9,0,12,11,3,4,14
				5,10,7,1,8,12,4,2,13
	12,13,14,9,7,4,5,1,0
		1,3,10,2,11,7,13,6,8
			6,5,9,0,12,11,3,4,14
				13,2,4,12,8,1,7,10,5
	12,13,14,9,7,4,5,1,0
		1,3,10,2,11,7,13,6,8
			14,4,3,11,12,0,9,5,6
				5,10,7,1,8,12,4,2,13
	12,13,14,9,7,4,5,1,0
		13,6,8,2,11,7,1,3,10
			14,4,3,11,12,0,9,5,6
				7,10,5,12,8,1,13,2,4
	12,13,14,9,7,4,5,1,0
		8,6,13,7,11,2,10,3,1
			14,4,3,11,12,0,9,5,6
				5,10,7,1,8,12,4,2,13
	12,13,14,9,7,4,5,1,0
		10,3,1,7,11,2,8,6,13
			6,5,9,0,12,11,3,4,14
				4,2,13,1,8,12,5,10,7
	12,13,14,9,7,4,5,1,0
		10,3,1,7,11,2,8,6,13
			6,5,9,0,12,11,3,4,14
				7,10,5,12,8,1,13,2,4
	12,13,14,9,7,4,5,1,0
		10,3,1,7,11,2,8,6,13
			14,4,3,11,12,0,9,5,6
				7,10,5,12,8,1,13,2,4
	5,1,0,9,7,4,12,13,14
		13,6,8,2,11,7,1,3,10
			3,4,14,0,12,11,6,5,9
				7,10,5,12,8,1,13,2,4
10,14,11,3,9,8,2,0,6
	0,1,5,4,7,9,14,13,12
		1,3,10,2,11,7,13,6,8
			9,5,6,11,12,0,14,4,3
				13,2,4,12,8,1,7,10,5
	0,1,5,4,7,9,14,13,12
		8,6,13,7,11,2,10,3,1
			3,4,14,0,12,11,6,5,9
				5,10,7,1,8,12,4,2,13
	0,1,5,4,7,9,14,13,12
		8,6,13,7,11,2,10,3,1
			3,4,14,0,12,11,6,5,9
				13,2,4,12,8,1,7,10,5
	0,1,5,4,7,9,14,13,12
		8,6,13,7,11,2,10,3,1
			9,5,6,11,12,0,14,4,3
				13,2,4,12,8,1,7,10,5
	14,13,12,4,7,9,0,1,5
		1,3,10,2,11,7,13,6,8
			9,5,6,11,12,0,14,4,3
				4,2,13,1,8,12,5,10,7
	12,13,14,9,7,4,5,1,0
		1,3,10,2,11,7,13,6,8
